编号,情感大类,情感类,例词
1,乐,快乐(PA),喜悦、欢喜、笑眯眯、欢天喜地
2,乐,安心(PE),踏实、宽心、定心丸、问心无愧
3,好,尊敬(PD),恭敬、敬爱、毕恭毕敬、肃然起敬
4,好,赞扬(PH),英俊、优秀、通情达理、实事求是
5,好,相信(PG),信任、信赖、可靠、毋庸置疑
6,好,喜爱(PB),倾慕、宝贝、一见钟情、爱不释手
7,好,祝愿(PK),渴望、保佑、福寿绵长、万寿无疆
8,怒,愤怒(NA),气愤、恼火、大发雷霆、七窍生烟
9,哀,悲伤(NB),忧伤、悲苦、心如刀割、悲痛欲绝
10,哀,失望(NJ),憾事、绝望、灰心丧气、心灰意冷
11,哀,疚(NH),内疚、忏悔、过意不去、问心有愧
12,哀,思(PF),思念、相思、牵肠挂肚、朝思暮想
13,惧,慌(NI),慌张、心慌、不知所措、手忙脚乱
14,惧,恐惧(NC),胆怯、害怕、担惊受怕、胆颤心惊
15,惧,羞(NG),害羞、害臊、面红耳赤、无地自容
16,恶,烦闷(NE),憋闷、烦躁、心烦意乱、自寻烦恼
17,恶,憎恶(ND),反感、可耻、恨之入骨、深恶痛绝
18,恶,贬责(NN),呆板、虚荣、杂乱无章、心狠手辣
19,恶,妒忌(NK),眼红、吃醋、醋坛子、嫉贤妒能
20,恶,怀疑(NL),多心、生疑、将信将疑、疑神疑鬼
21,惊,惊奇(PC),奇怪、奇迹、大吃一惊、瞠目结舌

