Stkcd,聚类标签,Stknme
000002,2,万科A
000061,2,农产品
000063,2,中兴通讯
000069,1,华侨城A
000100,1,TCL科技
000333,2,美的集团
000513,2,丽珠集团
000625,0,长安汽车
000651,0,格力电器
000661,2,长春高新
000681,2,视觉中国
000723,0,美锦能源
000725,2,京东方A
000858,2,五粮液
000895,0,双汇发展
000910,1,大亚圣象
000937,2,冀中能源
000999,0,华润三九
001979,1,招商蛇口
002008,1,大族激光
002024,1,ST 易购
002065,2,东华软件
002142,0,宁波银行
002202,1,金风科技
002230,1,科大讯飞
002241,0,歌尔股份
002271,0,东方雨虹
002304,0,洋河股份
002368,2,太极股份
002371,0,北方华创
002387,0,维信诺
002415,0,海康威视
002460,2,赣锋锂业
002466,0,天齐锂业
002475,0,立讯精密
002594,2,比亚迪
003816,0,中国广核
300002,0,神州泰岳
300003,0,乐普医疗
300012,0,华测检测
300014,2,亿纬锂能
300015,0,爱尔眼科
300027,0,华谊兄弟
300037,2,新宙邦
300059,0,东方财富
300070,1,碧水源
300122,0,智飞生物
300124,0,汇川技术
300136,0,信维通信
300142,0,沃森生物
300166,0,东方国信
300199,0,翰宇药业
300215,2,电科院
300236,0,上海新阳
300298,1,三诺生物
300369,0,绿盟科技
300413,2,芒果超媒
300454,1,深信服
300467,0,迅游科技
300476,0,胜宏科技
300529,0,健帆生物
300628,0,亿联网络
300673,2,佩蒂股份
300676,0,华大基因
300750,2,宁德时代
300760,0,迈瑞医疗
300782,2,卓胜微
300800,0,力合科技
300896,0,爱美客
300999,0,金龙鱼
600000,0,浦发银行
600009,0,上海机场
600011,2,华能国际
600018,0,上港集团
600019,2,宝钢股份
600025,0,华能水电
600026,0,中远海能
600028,0,中国石化
600029,0,南方航空
600030,0,中信证券
600031,0,三一重工
600036,2,招商银行
600048,0,保利发展
600050,2,中国联通
600104,1,上汽集团
600111,2,北方稀土
600115,2,中国东航
600166,0,福田汽车
600196,0,复星医药
600198,2,大唐电信
600236,0,桂冠电力
600271,0,航天信息
600276,2,恒瑞医药
600340,0,华夏幸福
600346,1,恒力石化
600352,1,浙江龙盛
600406,1,国电南瑞
600438,0,通威股份
600483,0,福能股份
600511,0,国药股份
