Stkcd,聚类标签,Stknme
000002,1,万科A
000061,2,农产品
000063,1,中兴通讯
000069,0,华侨城A
000100,0,TCL科技
000333,1,美的集团
000513,1,丽珠集团
000625,2,长安汽车
000651,2,格力电器
000661,2,长春高新
000681,1,视觉中国
000723,0,美锦能源
000725,2,京东方A
000858,2,五粮液
000895,0,双汇发展
000910,0,大亚圣象
000937,2,冀中能源
000999,0,华润三九
001979,0,招商蛇口
002008,0,大族激光
002024,0,ST 易购
002065,1,东华软件
002142,0,宁波银行
002202,0,金风科技
002230,0,科大讯飞
002241,2,歌尔股份
002271,2,东方雨虹
002304,2,洋河股份
002368,1,太极股份
002371,2,北方华创
002387,2,维信诺
002415,2,海康威视
002460,1,赣锋锂业
002466,2,天齐锂业
002475,2,立讯精密
002594,1,比亚迪
003816,2,中国广核
300002,2,神州泰岳
300003,0,乐普医疗
300012,2,华测检测
300014,2,亿纬锂能
300015,2,爱尔眼科
300027,0,华谊兄弟
300037,2,新宙邦
300059,2,东方财富
300070,0,碧水源
300122,0,智飞生物
300124,2,汇川技术
300136,0,信维通信
300142,2,沃森生物
