Stkcd,聚类标签,Stknme
000002,1,万科A
000061,2,农产品
000063,1,中兴通讯
000069,2,华侨城A
000100,1,TCL科技
000333,1,美的集团
000513,2,丽珠集团
000625,1,长安汽车
000651,1,格力电器
000661,0,长春高新
000681,2,视觉中国
000723,0,美锦能源
000725,1,京东方A
000858,1,五粮液
000895,2,双汇发展
000910,2,大亚圣象
000937,2,冀中能源
000999,2,华润三九
001979,2,招商蛇口
002008,2,大族激光
002024,0,ST 易购
002065,2,东华软件
002142,2,宁波银行
002202,2,金风科技
002230,1,科大讯飞
002241,1,歌尔股份
002271,0,东方雨虹
002304,0,洋河股份
002368,2,太极股份
002371,1,北方华创
002387,2,维信诺
002415,0,海康威视
002460,1,赣锋锂业
002466,1,天齐锂业
002475,0,立讯精密
002594,1,比亚迪
003816,2,中国广核
300002,0,神州泰岳
300003,2,乐普医疗
300012,2,华测检测
300014,0,亿纬锂能
300015,1,爱尔眼科
300027,2,华谊兄弟
300037,2,新宙邦
300059,1,东方财富
300070,2,碧水源
300122,0,智飞生物
300124,2,汇川技术
300136,2,信维通信
300142,1,沃森生物
