Stkcd,聚类标签,Stknme
000002,0,万科A
000061,-1,农产品
000063,0,中兴通讯
000069,-1,华侨城A
000100,0,TCL科技
000333,-1,美的集团
000513,-1,丽珠集团
000625,0,长安汽车
000651,0,格力电器
000661,1,长春高新
000681,-1,视觉中国
000723,0,美锦能源
000725,0,京东方A
000858,0,五粮液
000895,-1,双汇发展
000910,-1,大亚圣象
000937,0,冀中能源
000999,-1,华润三九
001979,-1,招商蛇口
002008,3,大族激光
002024,-1,ST 易购
002065,0,东华软件
002142,-1,宁波银行
002202,0,金风科技
002230,-1,科大讯飞
002241,0,歌尔股份
002271,1,东方雨虹
002304,2,洋河股份
002368,-1,太极股份
002371,-1,北方华创
002387,-1,维信诺
002415,1,海康威视
002460,0,赣锋锂业
002466,0,天齐锂业
002475,0,立讯精密
002594,-1,比亚迪
003816,-1,中国广核
300002,-1,神州泰岳
300003,-1,乐普医疗
300012,-1,华测检测
300014,-1,亿纬锂能
300015,-1,爱尔眼科
300027,-1,华谊兄弟
300037,-1,新宙邦
300059,-1,东方财富
300070,-1,碧水源
300122,-1,智飞生物
300124,-1,汇川技术
300136,-1,信维通信
300142,-1,沃森生物
300166,-1,东方国信
300199,-1,翰宇药业
300215,-1,电科院
300236,-1,上海新阳
300298,-1,三诺生物
300369,-1,绿盟科技
300413,-1,芒果超媒
300454,-1,深信服
300467,-1,迅游科技
300476,-1,胜宏科技
300529,-1,健帆生物
300628,0,亿联网络
300673,-1,佩蒂股份
300676,-1,华大基因
300750,-1,宁德时代
300760,-1,迈瑞医疗
300782,-1,卓胜微
300800,-1,力合科技
300896,-1,爱美客
300999,-1,金龙鱼
600000,-1,浦发银行
600009,3,上海机场
600011,0,华能国际
600018,3,上港集团
600019,2,宝钢股份
600025,-1,华能水电
600026,-1,中远海能
600028,-1,中国石化
600029,-1,南方航空
600030,-1,中信证券
600031,0,三一重工
600036,0,招商银行
600048,0,保利发展
600050,-1,中国联通
600104,0,上汽集团
600111,0,北方稀土
600115,-1,中国东航
600166,0,福田汽车
600196,1,复星医药
600198,-1,大唐电信
600236,-1,桂冠电力
600271,3,航天信息
600276,0,恒瑞医药
600340,0,华夏幸福
600346,3,恒力石化
600352,-1,浙江龙盛
600406,-1,国电南瑞
600438,0,通威股份
600483,0,福能股份
600511,3,国药股份
600516,3,方大炭素
600518,0,康美药业
600519,0,贵州茅台
600522,0,中天科技
600535,-1,天士力
600536,-1,中国软件
600547,-1,山东黄金
600562,-1,国睿科技
600585,3,海螺水泥
600588,-1,用友网络
600590,-1,泰豪科技
600597,-1,光明乳业
600600,-1,青岛啤酒
600606,-1,绿地控股
600660,0,福耀玻璃
600685,-1,中船防务
600690,-1,海尔智家
600703,0,三安光电
600718,-1,东软集团
600732,-1,爱旭股份
600741,-1,华域汽车
600760,3,中航沈飞
600763,-1,通策医疗
600787,-1,中储股份
600795,-1,国电电力
600869,-1,远东股份
600875,0,东方电气
600886,-1,国投电力
600887,0,伊利股份
600900,-1,长江电力
600903,-1,贵州燃气
600905,-1,三峡能源
600926,-1,杭州银行
600958,0,东方证券
600989,-1,宝丰能源
600999,0,招商证券
601003,-1,柳钢股份
601012,-1,隆基绿能
601058,-1,赛轮轮胎
601088,0,中国神华
601117,3,中国化学
601166,-1,兴业银行
601179,-1,中国西电
601186,-1,中国铁建
601238,0,广汽集团
601288,-1,农业银行
601318,0,中国平安
601328,-1,交通银行
601336,0,新华保险
601390,0,中国中铁
601398,-1,工商银行
601566,-1,九牧王
601600,0,中国铝业
601601,-1,中国太保
601628,-1,中国人寿
601668,3,中国建筑
601669,0,中国电建
601688,-1,华泰证券
601766,-1,中国中车
601808,-1,中海油服
601818,-1,光大银行
601857,-1,中国石油
601888,0,中国中免
601899,3,紫金矿业
601916,-1,浙商银行
601919,-1,中远海控
601933,-1,永辉超市
601985,-1,中国核电
601988,-1,中国银行
601989,-1,中国重工
601991,-1,大唐发电
601992,-1,金隅集团
601995,0,中金公司
601998,0,中信银行
603019,0,中科曙光
603185,-1,弘元绿能
603288,2,海天味业
603883,-1,老百姓
603986,0,兆易创新
688005,-1,容百科技
688027,-1,国盾量子
688029,-1,南微医学
688981,-1,中芯国际
