Stkcd,聚类标签,Stknme
000002,2,万科A
000061,2,农产品
000063,2,中兴通讯
000069,0,华侨城A
000100,0,TCL科技
000333,2,美的集团
000513,2,丽珠集团
000625,2,长安汽车
000651,2,格力电器
000661,2,长春高新
000681,2,视觉中国
000723,0,美锦能源
000725,2,京东方A
000858,2,五粮液
000895,0,双汇发展
000910,0,大亚圣象
000937,2,冀中能源
000999,0,华润三九
001979,0,招商蛇口
002008,0,大族激光
002024,0,ST 易购
002065,2,东华软件
002142,0,宁波银行
002202,0,金风科技
002230,0,科大讯飞
002241,2,歌尔股份
002271,0,东方雨虹
002304,2,洋河股份
002368,2,太极股份
002371,2,北方华创
002387,2,维信诺
002415,2,海康威视
002460,2,赣锋锂业
002466,0,天齐锂业
002475,0,立讯精密
002594,2,比亚迪
003816,0,中国广核
300002,1,神州泰岳
300003,1,乐普医疗
300012,2,华测检测
300014,1,亿纬锂能
300015,1,爱尔眼科
300027,1,华谊兄弟
300037,1,新宙邦
300059,1,东方财富
300070,0,碧水源
300122,1,智飞生物
300124,1,汇川技术
300136,1,信维通信
300142,1,沃森生物
300166,1,东方国信
300199,1,翰宇药业
300215,1,电科院
300236,0,上海新阳
300298,1,三诺生物
300369,1,绿盟科技
300413,1,芒果超媒
300454,1,深信服
300467,1,迅游科技
300476,1,胜宏科技
300529,1,健帆生物
300628,2,亿联网络
300673,1,佩蒂股份
300676,1,华大基因
300750,1,宁德时代
300760,1,迈瑞医疗
300782,1,卓胜微
300800,0,力合科技
300896,1,爱美客
300999,1,金龙鱼
600000,2,浦发银行
600009,0,上海机场
600011,2,华能国际
600018,0,上港集团
600019,2,宝钢股份
600025,0,华能水电
600026,1,中远海能
600028,2,中国石化
600029,0,南方航空
600030,2,中信证券
600031,0,三一重工
600036,2,招商银行
600048,2,保利发展
600050,2,中国联通
600104,0,上汽集团
600111,2,北方稀土
600115,2,中国东航
600166,0,福田汽车
600196,2,复星医药
600198,2,大唐电信
600236,2,桂冠电力
600271,0,航天信息
600276,2,恒瑞医药
600340,0,华夏幸福
600346,0,恒力石化
600352,0,浙江龙盛
600406,0,国电南瑞
600438,2,通威股份
600483,0,福能股份
600511,0,国药股份
600516,0,方大炭素
600518,2,康美药业
600519,2,贵州茅台
600522,2,中天科技
600535,0,天士力
600536,1,中国软件
600547,2,山东黄金
600562,0,国睿科技
600585,0,海螺水泥
600588,2,用友网络
600590,2,泰豪科技
600597,0,光明乳业
600600,0,青岛啤酒
600606,0,绿地控股
600660,2,福耀玻璃
600685,0,中船防务
600690,0,海尔智家
600703,2,三安光电
600718,2,东软集团
600732,0,爱旭股份
600741,0,华域汽车
600760,0,中航沈飞
600763,0,通策医疗
600787,2,中储股份
600795,2,国电电力
600869,2,远东股份
600875,2,东方电气
600886,0,国投电力
600887,2,伊利股份
600900,2,长江电力
600903,0,贵州燃气
600905,1,三峡能源
600926,0,杭州银行
600958,2,东方证券
600989,0,宝丰能源
600999,2,招商证券
601003,0,柳钢股份
601012,0,隆基绿能
601058,2,赛轮轮胎
601088,2,中国神华
601117,0,中国化学
601166,2,兴业银行
601179,0,中国西电
601186,0,中国铁建
601238,0,广汽集团
601288,0,农业银行
601318,2,中国平安
601328,0,交通银行
601336,2,新华保险
601390,0,中国中铁
601398,2,工商银行
601566,1,九牧王
601600,2,中国铝业
601601,0,中国太保
601628,0,中国人寿
601668,0,中国建筑
601669,2,中国电建
601688,0,华泰证券
601766,2,中国中车
601808,2,中海油服
601818,2,光大银行
601857,2,中国石油
601888,2,中国中免
601899,0,紫金矿业
601916,0,浙商银行
601919,2,中远海控
601933,0,永辉超市
601985,0,中国核电
601988,0,中国银行
601989,0,中国重工
601991,0,大唐发电
601992,2,金隅集团
601995,2,中金公司
601998,0,中信银行
603019,2,中科曙光
603185,0,弘元绿能
603288,0,海天味业
603883,2,老百姓
603986,0,兆易创新
688005,1,容百科技
688027,1,国盾量子
688029,0,南微医学
688981,1,中芯国际
