Stkcd,聚类标签,Stknme
000002,2,万科A
000061,2,农产品
000063,1,中兴通讯
000069,2,华侨城A
000100,1,TCL科技
000333,1,美的集团
000513,1,丽珠集团
000625,1,长安汽车
000651,0,格力电器
000661,2,长春高新
000681,1,视觉中国
000723,1,美锦能源
000725,1,京东方A
000858,1,五粮液
000895,0,双汇发展
000910,2,大亚圣象
000937,1,冀中能源
000999,1,华润三九
001979,0,招商蛇口
002008,1,大族激光
002024,1,ST 易购
002065,1,东华软件
002142,2,宁波银行
002202,1,金风科技
002230,1,科大讯飞
002241,1,歌尔股份
002271,0,东方雨虹
002304,2,洋河股份
002368,1,太极股份
002371,0,北方华创
002387,1,维信诺
002415,0,海康威视
002460,2,赣锋锂业
002466,2,天齐锂业
002475,1,立讯精密
002594,1,比亚迪
003816,1,中国广核
300002,0,神州泰岳
300003,2,乐普医疗
300012,1,华测检测
300014,2,亿纬锂能
300015,2,爱尔眼科
300027,1,华谊兄弟
300037,1,新宙邦
300059,2,东方财富
300070,0,碧水源
300122,1,智飞生物
300124,1,汇川技术
300136,1,信维通信
300142,1,沃森生物
300166,0,东方国信
300199,1,翰宇药业
300215,1,电科院
300236,2,上海新阳
300298,0,三诺生物
300369,1,绿盟科技
300413,1,芒果超媒
300454,0,深信服
300467,2,迅游科技
300476,0,胜宏科技
300529,1,健帆生物
300673,1,佩蒂股份
300676,1,华大基因
300750,2,宁德时代
300760,0,迈瑞医疗
300782,2,卓胜微
300800,1,力合科技
300896,2,爱美客
300999,1,金龙鱼
600000,0,浦发银行
600009,1,上海机场
600011,2,华能国际
600018,0,上港集团
600019,1,宝钢股份
600025,2,华能水电
600026,1,中远海能
600028,1,中国石化
600029,1,南方航空
600030,2,中信证券
600031,2,三一重工
600036,2,招商银行
600048,1,保利发展
600050,1,中国联通
600104,1,上汽集团
600111,0,北方稀土
600115,1,中国东航
600166,2,福田汽车
600196,1,复星医药
600198,1,大唐电信
600271,1,航天信息
600276,1,恒瑞医药
600340,1,华夏幸福
600346,2,恒力石化
600352,1,浙江龙盛
600406,1,国电南瑞
600438,1,通威股份
600483,1,福能股份
600511,0,国药股份
600516,1,方大炭素
600518,1,康美药业
600519,0,贵州茅台
600522,0,中天科技
600535,1,天士力
600536,1,中国软件
600547,1,山东黄金
600562,2,国睿科技
600585,0,海螺水泥
600588,0,用友网络
600590,1,泰豪科技
600597,2,光明乳业
600600,1,青岛啤酒
600606,2,绿地控股
600660,2,福耀玻璃
600685,0,中船防务
600690,1,海尔智家
600703,1,三安光电
600718,1,东软集团
600732,1,爱旭股份
600741,1,华域汽车
600760,2,中航沈飞
600763,1,通策医疗
600787,1,中储股份
600795,0,国电电力
600869,1,远东股份
600875,1,东方电气
600886,1,国投电力
600887,0,伊利股份
600900,1,长江电力
600903,1,贵州燃气
600905,2,三峡能源
600926,1,杭州银行
600958,2,东方证券
600989,1,宝丰能源
600999,1,招商证券
601012,2,隆基绿能
601058,1,赛轮轮胎
601088,1,中国神华
601117,0,中国化学
601166,2,兴业银行
601179,2,中国西电
601186,1,中国铁建
601238,1,广汽集团
601288,0,农业银行
601318,2,中国平安
601328,1,交通银行
601336,1,新华保险
601390,1,中国中铁
601398,0,工商银行
601566,1,九牧王
601600,1,中国铝业
601601,1,中国太保
601628,2,中国人寿
601668,0,中国建筑
601669,1,中国电建
601688,2,华泰证券
601766,2,中国中车
601818,0,光大银行
601857,1,中国石油
601888,1,中国中免
601899,0,紫金矿业
601916,1,浙商银行
601919,1,中远海控
601933,1,永辉超市
601985,2,中国核电
601988,1,中国银行
601989,2,中国重工
601991,0,大唐发电
601992,1,金隅集团
601995,1,中金公司
601998,2,中信银行
603019,0,中科曙光
603185,2,弘元绿能
603288,1,海天味业
603883,2,老百姓
603986,1,兆易创新
688005,1,容百科技
688027,1,国盾量子
688981,1,中芯国际
