日期,累计收益,当日投资组合
2021-06-23 00:00:00,0.013632260605860242,"[0.44284311813041766, 0.38739613195776756, 0.16976074991181483]"
2021-06-24 00:00:00,0.011997607576858967,"[0.4324069865752792, 0.39076823286488876, 0.17682478055983214]"
2021-06-25 00:00:00,0.025248026092788242,"[0.4309756335962416, 0.40053143999821705, 0.16849292640554148]"
2021-06-28 00:00:00,0.02871699869952269,"[0.41769340861472337, 0.404329152544274, 0.17797743884100264]"
2021-06-29 00:00:00,0.019259295521692314,"[0.41756020319520404, 0.40475605259454145, 0.17768374421025454]"
2021-06-30 00:00:00,0.029556195587625837,"[0.42112974736808595, 0.3939624007297009, 0.18490785190221318]"
2021-07-01 00:00:00,0.022910735722531574,"[0.42041665809733464, 0.39344423338718326, 0.18613910851548213]"
2021-07-02 00:00:00,0.004407286451428176,"[0.4213914808582259, 0.39262184752738744, 0.18598667161438653]"
2021-07-05 00:00:00,0.014658318298181032,"[0.43510370835557705, 0.3809916860290603, 0.18390460561536262]"
2021-07-06 00:00:00,0.015794704546371944,"[0.41956284253637033, 0.39018619732884363, 0.1902509601347861]"
2021-07-07 00:00:00,0.029292344045520523,"[0.41930199241825, 0.39053658746255954, 0.19016142011919046]"
2021-07-08 00:00:00,0.02530036132120872,"[0.4127088280334644, 0.3968329694697838, 0.19045820249675177]"
2021-07-09 00:00:00,0.02919483100962845,"[0.41418852244642007, 0.39396622077006627, 0.1918452567835136]"
2021-07-12 00:00:00,0.04203823642695746,"[0.4137660665936878, 0.3939326135543405, 0.19230131985197177]"
2021-07-13 00:00:00,0.0464554545394944,"[0.4243301625654773, 0.3864791814657698, 0.18919065596875276]"
2021-07-14 00:00:00,0.03255751007707924,"[0.4249913926782367, 0.38557915180753943, 0.18942945551422385]"
2021-07-15 00:00:00,0.040194557066154366,"[0.4168067157851659, 0.38554979497868125, 0.19764348923615285]"
2021-07-16 00:00:00,0.034363167983315665,"[0.39987725010200525, 0.39882461244535944, 0.20129813745263542]"
2021-07-19 00:00:00,0.03490968602283722,"[0.40393045062855437, 0.39853292135560187, 0.1975366280158437]"
2021-07-20 00:00:00,0.03482546851479454,"[0.40779007922146415, 0.3955367375858645, 0.19667318319267135]"
2021-07-21 00:00:00,0.046132523324714916,"[0.410688002177708, 0.3943162235874557, 0.19499577423483624]"
2021-07-22 00:00:00,0.051564282483262315,"[0.40878747275170374, 0.393862696758478, 0.19734983048981825]"
2021-07-23 00:00:00,0.04218500377806229,"[0.40480395336187996, 0.39766250982884643, 0.19753353680927363]"
2021-07-26 00:00:00,0.01633166997276743,"[0.39589666861756045, 0.38364378159657764, 0.22045954978586202]"
2021-07-27 00:00:00,-0.013045351260402134,"[0.4177108961189962, 0.3522921583689419, 0.22999694551206196]"
2021-07-28 00:00:00,-0.016829176455191837,"[0.41586206568867473, 0.33717036133940365, 0.24696757297192173]"
2021-07-29 00:00:00,0.0071990932118775885,"[0.40964593767359175, 0.3385802455075679, 0.2517738168188403]"
2021-07-30 00:00:00,0.01005941224772936,"[0.4024666723094791, 0.34315630442177975, 0.2543770232687412]"
2021-08-02 00:00:00,0.033400426389934706,"[0.40175093023554664, 0.3410288197212588, 0.25722025004319465]"
2021-08-03 00:00:00,0.03627832516688276,"[0.3843893143544381, 0.3472550496714446, 0.2683556359741173]"
2021-08-04 00:00:00,0.055326745679341885,"[0.3855706353218795, 0.34734207974516723, 0.2670872849329533]"
2021-08-05 00:00:00,0.04892009422067922,"[0.3779316181544901, 0.34985929611049393, 0.27220908573501607]"
2021-08-06 00:00:00,0.042569844003211746,"[0.37656112722225904, 0.340935143515689, 0.282503729262052]"
2021-08-09 00:00:00,0.047839893709928825,"[0.38190752477675904, 0.34514146956398106, 0.27295100565925995]"
2021-08-10 00:00:00,0.05132529435392348,"[0.38057653847457434, 0.34391593553552907, 0.2755075259898966]"
2021-08-11 00:00:00,0.049456303312190815,"[0.3826126047497148, 0.344823841843267, 0.2725635534070182]"
2021-08-12 00:00:00,0.04895908006616978,"[0.38112890561639334, 0.34536294775528886, 0.27350814662831774]"
2021-08-13 00:00:00,0.03982240141280021,"[0.3835514881184928, 0.34446162030478156, 0.27198689157672573]"
2021-08-16 00:00:00,0.03944109003093787,"[0.38238747838235887, 0.34613652415853585, 0.2714759974591053]"
2021-08-17 00:00:00,0.016714413286828857,"[0.3870409634285251, 0.3441404894309373, 0.26881854714053754]"
2021-08-18 00:00:00,0.028145991649274768,"[0.3798077635871522, 0.3514457564530587, 0.26874647995978906]"
2021-08-19 00:00:00,0.02666199199625554,"[0.38105812156462093, 0.34226646607300515, 0.276675412362374]"
2021-08-20 00:00:00,0.008524737934494774,"[0.37825086447119194, 0.3452226103644207, 0.27652652516438736]"
